carat,cut,color,clarity,depth,table,price
0.3,Premium,J,SI2,59.3,61.0,405
0.3,Very Good,I,SI1,62.6,57.0,405
0.3,Very Good,I,SI1,63.0,57.0,405
0.3,Good,I,SI1,63.2,55.0,405
0.35,Ideal,I,VS1,60.9,57.0,552
0.3,Premium,D,SI1,62.6,59.0,552
0.3,Ideal,D,SI1,62.5,57.0,552
0.3,Ideal,D,SI1,62.1,56.0,552
0.42,Premium,I,SI2,61.5,59.0,552
0.28,Ideal,G,VVS2,61.4,56.0,553
0.32,Ideal,I,VVS1,62.0,55.3,553
0.31,Very Good,G,SI1,63.3,57.0,553
0.31,Premium,G,SI1,61.8,58.0,553
0.24,Premium,E,VVS1,60.7,58.0,553
0.24,Very Good,D,VVS1,61.5,60.0,553
0.3,Very Good,H,SI1,63.1,56.0,554
0.3,Premium,H,SI1,62.9,59.0,554
0.3,Premium,H,SI1,62.5,57.0,554
0.3,Good,H,SI1,63.7,57.0,554
0.26,Very Good,F,VVS2,59.2,60.0,554
0.26,Very Good,E,VVS2,59.9,58.0,554
0.26,Very Good,D,VVS2,62.4,54.0,554
0.26,Very Good,D,VVS2,62.8,60.0,554
0.26,Very Good,E,VVS1,62.6,59.0,554
0.26,Very Good,E,VVS1,63.4,59.0,554
0.26,Very Good,D,VVS1,62.1,60.0,554
0.26,Ideal,E,VVS2,62.9,58.0,554
0.38,Ideal,I,SI2,61.6,56.0,554
0.26,Good,E,VVS1,57.9,60.0,554
0.24,Premium,G,VVS1,62.3,59.0,554
0.24,Premium,H,VVS1,61.2,58.0,554
0.24,Premium,H,VVS1,60.8,59.0,554
0.24,Premium,H,VVS2,60.7,58.0,554
0.32,Premium,I,SI1,62.9,58.0,554
0.7,Ideal,E,SI1,62.5,57.0,2757
0.86,Fair,E,SI2,55.1,69.0,2757
0.7,Ideal,G,VS2,61.6,56.0,2757
0.71,Very Good,E,VS2,62.4,57.0,2759
0.78,Very Good,G,SI2,63.8,56.0,2759
0.7,Good,E,VS2,57.5,58.0,2759
0.7,Good,F,VS1,59.4,62.0,2759
0.96,Fair,F,SI2,66.3,62.0,2759
0.73,Very Good,E,SI1,61.6,59.0,2760
0.8,Premium,H,SI1,61.5,58.0,2760
0.75,Very Good,D,SI1,63.2,56.0,2760
0.75,Premium,E,SI1,59.9,54.0,2760
0.74,Ideal,G,SI1,61.6,55.0,2760
0.75,Premium,G,VS2,61.7,58.0,2760
0.8,Ideal,I,VS1,62.9,56.0,2760
0.75,Ideal,G,SI1,62.2,55.0,2760
0.8,Premium,G,SI1,63.0,59.0,2760
0.74,Ideal,I,VVS2,62.3,55.0,2761
0.81,Ideal,F,SI2,58.8,57.0,2761
0.59,Ideal,E,VVS2,62.0,55.0,2761
0.8,Ideal,F,SI2,61.4,57.0,2761
0.74,Ideal,E,SI2,62.2,56.0,2761
0.9,Premium,I,VS2,63.0,58.0,2761
0.74,Very Good,G,SI1,62.2,59.0,2762
0.73,Ideal,F,VS2,62.6,56.0,2762
0.73,Ideal,F,VS2,62.7,53.0,2762
0.8,Premium,F,SI2,61.7,58.0,2762
0.71,Ideal,G,VS2,62.4,54.0,2762
0.7,Ideal,E,VS2,60.7,58.0,2762
0.8,Ideal,F,SI2,59.9,59.0,2762
0.71,Ideal,D,SI2,62.3,56.0,2762
0.74,Ideal,E,SI1,62.3,54.0,2762
0.7,Very Good,F,VS2,61.7,63.0,2762
0.7,Fair,F,VS2,64.5,57.0,2762
0.7,Fair,F,VS2,65.3,55.0,2762
0.7,Premium,F,VS2,61.6,60.0,2762
0.91,Premium,H,SI1,61.4,56.0,2763
0.61,Very Good,D,VVS2,59.6,57.0,2763
0.91,Fair,H,SI2,64.4,57.0,2763
0.91,Fair,H,SI2,65.7,60.0,2763
0.77,Ideal,H,VS2,62.0,56.0,2763
0.71,Very Good,D,SI1,63.6,58.0,2764
0.71,Ideal,D,SI1,61.9,59.0,2764
0.7,Very Good,E,VS2,62.6,60.0,2765
0.77,Very Good,H,VS1,61.3,60.0,2765
0.63,Premium,E,VVS1,60.9,60.0,2765
0.71,Very Good,F,VS1,60.1,62.0,2765
0.71,Premium,F,VS1,61.8,59.0,2765
0.76,Ideal,H,SI1,61.2,57.0,2765
0.64,Ideal,G,VVS1,61.9,56.0,2766
0.71,Premium,G,VS2,60.9,57.0,2766
0.71,Premium,G,VS2,59.8,56.0,2766
0.7,Very Good,D,VS2,61.8,55.0,2767
0.7,Very Good,F,VS1,60.0,57.0,2767
0.71,Ideal,D,SI2,61.6,55.0,2767
0.7,Good,H,VVS2,62.1,64.0,2767
0.71,Very Good,G,VS1,63.3,59.0,2768
0.73,Very Good,D,SI1,60.2,56.0,2768
0.7,Very Good,D,SI1,61.1,58.0,2768
0.7,Ideal,E,SI1,60.9,57.0,2768
0.71,Premium,D,SI2,61.7,59.0,2768
0.74,Ideal,I,SI1,61.3,56.0,2769
0.71,Premium,D,VS2,62.5,60.0,2770
0.73,Premium,G,VS2,61.4,59.0,2770
0.76,Very Good,F,SI1,62.9,57.0,2770
0.76,Ideal,D,SI2,62.4,57.0,2770
0.71,Ideal,F,SI1,60.7,56.0,2770
0.73,Premium,G,VS2,60.7,58.0,2770
0.73,Premium,G,VS1,61.5,58.0,2770
0.73,Ideal,D,SI2,59.9,57.0,2770
0.73,Premium,G,VS2,59.2,59.0,2770
0.72,Very Good,H,VVS2,60.3,56.0,2771
0.73,Very Good,F,SI1,61.7,60.0,2771
0.71,Ideal,G,VS2,61.9,57.0,2771
0.79,Ideal,F,SI2,61.9,55.0,2771
0.73,Very Good,H,VVS1,60.4,59.0,2772
0.8,Very Good,F,SI2,61.0,57.0,2772
0.58,Ideal,G,VVS1,61.5,55.0,2772
0.58,Ideal,F,VVS1,61.7,56.0,2772
0.71,Good,E,VS2,59.2,61.0,2772
0.75,Ideal,D,SI2,61.3,56.0,2773
0.7,Premium,D,VS2,58.0,62.0,2773
1.17,Very Good,J,I1,60.2,61.0,2774
0.6,Ideal,E,VS1,61.7,55.0,2774
0.7,Ideal,E,SI1,62.7,55.0,2774
0.83,Good,I,VS2,64.6,54.0,2774
0.74,Very Good,F,VS2,61.3,61.0,2775
0.72,Very Good,G,VS2,63.7,56.4,2776
0.71,Premium,E,VS2,62.7,58.0,2776
0.71,Ideal,E,VS2,62.2,57.0,2776
0.54,Ideal,E,VVS2,61.6,56.0,2776
0.54,Ideal,E,VVS2,61.5,57.0,2776
0.72,Ideal,G,SI1,61.8,56.0,2776
0.72,Ideal,G,SI1,60.7,56.0,2776
0.72,Good,G,VS2,59.7,60.5,2776
0.71,Ideal,G,SI1,60.5,56.0,2776
0.7,Very Good,D,VS1,62.7,58.0,2777
0.71,Premium,F,VS2,62.1,58.0,2777
0.71,Very Good,F,VS2,62.8,57.0,2777
0.71,Good,F,VS2,63.8,58.0,2777
0.71,Good,F,VS2,57.8,60.0,2777
0.7,Ideal,E,VS2,62.1,55.0,2777
0.7,Premium,E,VS2,61.1,60.0,2777
0.7,Premium,E,SI1,60.0,59.0,2777
0.7,Premium,E,SI1,61.2,57.0,2777
0.7,Premium,E,SI1,62.7,59.0,2777
0.7,Premium,E,SI1,61.0,57.0,2777
0.7,Premium,E,SI1,61.0,58.0,2777
0.7,Ideal,E,SI1,61.4,57.0,2777
0.72,Premium,F,SI1,61.8,61.0,2777
0.7,Very Good,E,SI1,59.9,63.0,2777
0.7,Premium,E,SI1,61.3,58.0,2777
0.7,Premium,E,SI1,60.5,58.0,2777
0.7,Good,E,VS2,64.1,59.0,2777
0.98,Fair,H,SI2,67.9,60.0,2777
0.78,Premium,F,SI1,62.4,58.0,2777
0.7,Very Good,E,SI1,63.2,60.0,2777
0.52,Ideal,F,VVS1,61.3,55.0,2778
0.73,Very Good,H,VS2,60.8,56.0,2779
0.74,Ideal,E,SI1,61.7,56.0,2779
0.7,Very Good,F,VS2,63.6,57.0,2780
0.77,Premium,G,VS2,61.2,58.0,2780
0.71,Ideal,F,VS2,62.1,54.0,2780
0.74,Ideal,G,VS1,61.5,55.0,2780
0.7,Ideal,G,VS1,61.4,59.0,2780
1.01,Premium,F,I1,61.8,60.0,2781
0.77,Ideal,H,SI1,62.2,56.0,2781
0.78,Ideal,H,SI1,61.2,56.0,2781
0.72,Very Good,H,VS1,60.6,63.0,2782
0.53,Very Good,D,VVS2,57.5,64.0,2782
0.76,Ideal,G,VS2,61.3,56.0,2782
0.7,Good,E,VS1,57.2,62.0,2782
0.7,Premium,E,VS1,62.9,60.0,2782
0.75,Very Good,D,SI2,63.1,58.0,2782
0.72,Ideal,D,SI1,60.8,57.0,2782
0.72,Premium,D,SI1,62.7,59.0,2782
0.7,Premium,D,SI1,62.8,60.0,2782
0.84,Fair,G,SI1,55.1,67.0,2782
0.75,Premium,F,SI1,61.4,59.0,2782
0.52,Ideal,F,IF,62.2,55.0,2783
0.72,Very Good,F,VS2,63.0,54.0,2784
0.79,Very Good,H,VS1,63.7,56.0,2784
0.72,Very Good,F,VS2,63.6,58.0,2787
0.51,Ideal,F,VVS1,62.0,57.0,2787
0.64,Ideal,D,VS1,61.5,56.0,2787
0.7,Very Good,H,VVS1,60.5,60.0,2788
0.83,Very Good,I,VS1,61.1,60.0,2788
0.76,Ideal,I,VVS2,61.8,56.0,2788
0.71,Good,D,VS2,63.3,56.0,2788
0.77,Good,G,VS1,59.4,64.0,2788
0.71,Ideal,F,SI1,62.5,55.0,2788
1.01,Fair,E,I1,64.5,58.0,2788
1.01,Premium,H,SI2,62.7,59.0,2788
0.77,Good,F,SI1,64.2,52.0,2789
0.76,Good,E,SI1,63.7,54.0,2789
0.76,Premium,E,SI1,60.4,58.0,2789
0.76,Premium,E,SI1,61.8,58.0,2789
1.05,Very Good,J,SI2,63.2,56.0,2789
0.81,Ideal,G,SI2,61.6,56.0,2789
0.7,Ideal,E,SI1,61.6,56.0,2789
0.55,Ideal,G,IF,60.9,57.0,2789
0.81,Good,G,SI2,61.0,61.0,2789
0.63,Premium,E,VVS2,62.1,57.0,2789
0.63,Premium,E,VVS1,60.9,60.0,2789
0.77,Premium,H,VS1,61.3,60.0,2789
1.05,Fair,J,SI2,65.8,59.0,2789
0.64,Ideal,G,IF,61.3,56.0,2790
0.76,Premium,I,VVS1,58.8,59.0,2790
0.83,Ideal,F,SI2,62.3,55.0,2790
0.71,Premium,F,VS1,60.1,62.0,2790
0.71,Premium,F,VS1,61.8,59.0,2790
0.87,Very Good,I,SI1,63.6,55.8,2791
0.73,Ideal,E,SI1,62.2,56.0,2791
0.71,Premium,E,SI1,59.2,59.0,2792
0.71,Premium,E,SI1,61.8,59.0,2792
0.71,Ideal,E,SI1,61.3,55.0,2792
0.7,Premium,F,VS1,62.1,60.0,2792
0.7,Premium,F,VS1,60.7,60.0,2792
0.76,Premium,H,VVS2,59.6,57.0,2792
0.7,Ideal,F,VS1,62.2,56.0,2792
0.79,Very Good,G,SI1,60.6,57.0,2793
0.7,Very Good,E,VS2,62.9,57.0,2793
0.7,Good,E,VS2,64.1,55.0,2793
0.76,Ideal,I,VS2,61.3,56.0,2793
0.73,Ideal,H,VS2,62.7,55.0,2793
0.79,Very Good,E,SI1,63.2,56.0,2794
0.71,Very Good,E,VS2,60.7,56.0,2795
0.81,Premium,I,VVS2,61.9,60.0,2795
0.81,Ideal,F,SI2,62.6,55.0,2795
0.72,Good,F,VS1,60.7,60.0,2795
0.72,Premium,D,SI2,62.0,60.0,2795
0.72,Premium,I,IF,63.0,57.0,2795
0.81,Premium,H,VS2,58.0,59.0,2795
0.72,Premium,G,VS2,62.9,57.0,2795
1.0,Premium,I,SI2,58.2,60.0,2795
0.73,Good,E,SI1,63.2,58.0,2796
0.81,Very Good,H,SI2,61.3,59.0,2797
0.81,Very Good,E,SI1,60.3,60.0,2797
0.71,Premium,D,SI1,62.7,60.0,2797
0.71,Premium,D,SI1,61.3,58.0,2797
0.71,Premium,D,SI1,61.6,60.0,2797
0.57,Ideal,F,VVS2,61.9,55.0,2797
0.51,Ideal,D,VVS1,61.7,56.0,2797
0.72,Ideal,G,VS2,61.9,58.0,2797
0.74,Ideal,H,VS1,61.8,58.0,2797
0.74,Ideal,H,VS1,61.6,56.0,2797
0.7,Fair,G,VVS1,58.8,66.0,2797
0.8,Premium,F,SI2,61.0,57.0,2797
1.01,Fair,E,SI2,67.4,60.0,2797
0.8,Very Good,H,VS2,63.4,60.0,2797
0.77,Ideal,I,VS1,61.5,59.0,2798
0.83,Very Good,E,SI2,58.0,62.0,2799
0.82,Ideal,F,SI2,62.4,54.0,2799
0.78,Ideal,D,SI1,61.9,57.0,2799
0.6,Very Good,G,IF,61.6,56.0,2800
0.9,Good,I,SI2,62.2,59.0,2800
0.7,Premium,E,VS1,62.2,58.0,2800
0.9,Very Good,I,SI2,61.3,56.0,2800
0.83,Ideal,G,SI1,62.3,57.0,2800
0.83,Ideal,G,SI1,61.8,57.0,2800
0.83,Very Good,H,SI1,62.5,59.0,2800
0.74,Premium,G,VS1,62.9,60.0,2800
0.79,Ideal,I,VS1,61.8,59.0,2800
0.61,Ideal,G,IF,62.3,56.0,2800
0.76,Fair,G,VS1,59.0,70.0,2800
0.96,Ideal,F,I1,60.7,55.0,2801
0.73,Ideal,F,VS2,62.5,55.0,2801
0.73,Premium,F,VS2,62.7,58.0,2801
0.75,Ideal,H,SI1,60.4,57.0,2801
0.71,Premium,F,VS2,62.1,58.0,2801
0.71,Good,F,VS2,57.8,60.0,2801
0.71,Good,F,VS2,63.8,58.0,2801
0.71,Premium,F,VS2,62.8,57.0,2801
1.04,Premium,G,I1,62.2,58.0,2801
1.0,Premium,J,SI2,62.3,58.0,2801
0.87,Very Good,G,SI2,59.9,58.0,2802
0.53,Ideal,F,IF,61.9,54.0,2802
0.72,Premium,E,VS2,63.0,55.0,2802
0.72,Premium,F,VS1,62.4,58.0,2802
0.7,Very Good,F,VS2,62.9,58.0,2803
0.74,Very Good,E,SI1,63.5,56.0,2803
0.71,Ideal,G,VS2,61.3,56.0,2803
0.73,Ideal,E,SI1,60.6,54.0,2803
0.7,Good,G,VS1,65.1,58.0,2803
0.71,Premium,F,VS2,62.6,58.0,2803
0.71,Premium,F,VS2,58.0,62.0,2803
0.71,Premium,G,VS1,62.4,61.0,2803
0.77,Premium,G,VS2,61.3,57.0,2803
0.71,Premium,G,VS2,59.9,60.0,2803
0.78,Premium,G,VS2,60.8,58.0,2803
0.71,Very Good,G,VS1,63.5,55.0,2803
0.91,Ideal,D,SI2,62.2,57.0,2803
0.71,Very Good,E,VS2,63.8,58.0,2804
0.71,Very Good,E,VS2,64.0,57.0,2804
0.8,Very Good,E,SI2,62.5,56.0,2804
0.7,Very Good,D,SI1,62.3,58.0,2804
0.72,Ideal,F,VS1,61.7,57.0,2804
0.72,Very Good,F,VS1,62.2,58.0,2804
0.82,Ideal,H,VS2,61.5,56.0,2804
0.7,Ideal,D,SI1,61.0,59.0,2804
0.72,Ideal,D,SI1,62.2,56.0,2804
0.72,Ideal,D,SI1,61.5,54.0,2804
0.9,Fair,I,SI1,67.3,59.0,2804
0.74,Premium,F,VS2,61.7,58.0,2805
0.74,Premium,F,VS2,61.9,56.0,2805
0.73,Ideal,E,SI2,61.8,58.0,2805
0.57,Fair,E,VVS1,58.7,66.0,2805
0.73,Premium,F,VS2,62.5,57.0,2805
0.72,Ideal,G,VS2,62.8,56.0,2805
0.74,Fair,F,VS2,61.1,68.0,2805
0.82,Good,G,VS2,64.0,57.0,2805
0.81,Very Good,G,SI1,62.5,60.0,2806
0.75,Very Good,H,VVS1,60.6,58.0,2806
0.7,Ideal,F,SI1,61.6,55.0,2806
0.71,Very Good,F,VS1,62.2,58.0,2807
0.71,Very Good,F,VS1,60.0,57.0,2807
0.93,Premium,J,SI2,61.9,57.0,2807
0.8,Very Good,H,VS2,62.8,57.0,2808
0.7,Very Good,F,VS1,62.0,57.0,2808
1.0,Fair,G,I1,66.4,59.0,2808
0.75,Very Good,G,VS2,63.4,56.0,2808
0.58,Ideal,E,VVS2,60.9,56.0,2808
0.73,Very Good,D,SI1,63.1,57.0,2808
0.81,Very Good,F,SI1,63.1,59.0,2809
0.81,Premium,D,SI2,59.2,57.0,2809
0.71,Premium,F,SI1,60.7,54.0,2809
1.2,Fair,F,I1,64.6,56.0,2809
0.7,Very Good,F,VS1,61.8,56.0,2810
0.7,Very Good,F,VS1,59.9,60.0,2810
0.74,Ideal,D,SI2,61.7,55.0,2810
0.7,Good,F,VS1,62.8,61.0,2810
0.8,Good,G,SI1,62.7,57.0,2810
0.75,Very Good,F,SI1,63.4,58.0,2811
0.83,Very Good,D,SI1,63.5,54.0,2811
1.0,Fair,J,VS2,65.7,59.0,2811
0.99,Fair,I,SI2,68.1,56.0,2811
0.7,Very Good,G,VS1,63.0,60.0,2812
0.7,Very Good,F,VS2,59.5,58.0,2812
0.7,Good,E,SI1,63.5,59.0,2812
0.7,Very Good,F,VS2,61.7,58.0,2812
0.32,Premium,I,SI1,62.7,58.0,554
0.32,Premium,I,SI1,62.8,58.0,554
0.32,Ideal,I,SI1,62.4,57.0,554
0.32,Premium,I,SI1,61.0,59.0,554
0.32,Very Good,I,SI1,63.1,56.0,554
0.32,Ideal,I,SI1,60.7,57.0,554
0.3,Premium,H,SI1,60.9,59.0,554
0.3,Premium,H,SI1,60.1,55.0,554
0.3,Premium,H,SI1,62.9,58.0,554
0.3,Very Good,H,SI1,63.3,56.0,554
0.3,Good,H,SI1,63.8,55.0,554
0.3,Ideal,H,SI1,62.9,57.0,554
0.3,Very Good,H,SI1,63.4,60.0,554
0.32,Good,I,SI1,63.9,55.0,554
0.33,Ideal,H,SI2,61.4,56.0,554
0.29,Very Good,E,VS1,61.9,55.0,555
0.29,Very Good,E,VS1,62.4,55.0,555
0.31,Very Good,F,SI1,61.8,58.0,555
0.34,Ideal,H,VS2,61.5,56.0,555
0.34,Ideal,H,VS2,60.4,57.0,555
0.34,Ideal,I,VS1,61.8,55.0,555
0.34,Ideal,I,VS1,62.0,56.0,555
0.3,Ideal,G,VS1,62.3,56.0,555
0.29,Ideal,F,VS1,61.6,56.0,555
0.35,Ideal,G,SI1,60.6,56.0,555
0.43,Very Good,E,I1,58.4,62.0,555
0.32,Very Good,F,VS2,61.4,58.0,556
0.36,Ideal,I,VS2,61.9,56.0,556
0.3,Ideal,G,VS2,62.0,56.0,556
0.26,Ideal,E,VS1,61.5,57.0,556
0.7,Very Good,F,VS2,62.3,58.0,2812
0.7,Very Good,F,VS2,60.9,61.0,2812
0.71,Ideal,D,SI1,62.4,57.0,2812
0.99,Fair,J,SI1,55.0,61.0,2812
0.73,Premium,E,VS2,58.6,60.0,2812
0.51,Ideal,F,VVS1,62.0,57.0,2812
0.91,Premium,G,SI2,59.8,58.0,2813
0.84,Very Good,E,SI1,63.4,55.0,2813
0.91,Good,I,VS2,64.3,58.0,2813
0.76,Premium,E,SI1,62.2,59.0,2814
0.76,Ideal,E,SI1,61.7,57.0,2814
0.75,Premium,E,SI1,61.1,59.0,2814
0.55,Very Good,D,VVS1,61.5,56.0,2815
0.76,Very Good,F,SI2,58.5,62.0,2815
0.74,Premium,G,VS1,61.7,58.0,2815
0.7,Ideal,H,SI1,60.4,56.0,2815
0.7,Ideal,H,SI1,61.4,56.0,2815
0.7,Ideal,H,SI1,61.5,55.0,2815
0.7,Ideal,H,SI1,61.4,56.0,2815
0.9,Fair,J,VS2,65.0,56.0,2815
0.95,Fair,F,SI2,56.0,60.0,2815
0.89,Premium,H,SI2,60.2,59.0,2815
0.72,Premium,E,VS2,58.3,58.0,2815
0.96,Fair,E,SI2,53.1,63.0,2815
1.02,Premium,G,I1,60.3,58.0,2815
0.78,Very Good,I,VVS2,61.4,56.0,2816
0.61,Ideal,G,VVS2,60.1,57.0,2816
0.71,Good,D,VS1,63.4,55.0,2816
0.78,Premium,F,SI1,61.5,59.0,2816
0.87,Ideal,H,SI2,62.7,56.0,2816
0.83,Ideal,H,SI1,62.5,55.0,2816
0.71,Premium,E,SI1,61.3,56.0,2817
0.71,Ideal,I,VVS2,60.2,56.0,2817
0.71,Ideal,E,VS2,62.7,57.0,2817
0.71,Premium,E,VS2,62.3,58.0,2817
0.63,Ideal,F,VVS2,61.5,56.0,2817
0.71,Premium,E,SI1,59.2,59.0,2817
0.71,Premium,E,SI1,61.8,59.0,2817
0.71,Ideal,E,SI1,61.3,55.0,2817
0.71,Premium,E,SI1,61.4,58.0,2817
0.9,Ideal,J,VS2,62.8,55.0,2817
0.71,Good,E,SI1,62.8,64.0,2817
0.7,Premium,E,VS2,62.4,61.0,2818
0.7,Premium,E,VS2,59.3,60.0,2818
0.7,Premium,E,VS2,63.0,60.0,2818
1.0,Premium,H,I1,61.3,60.0,2818
0.86,Premium,F,SI2,59.3,62.0,2818
0.8,Ideal,H,SI1,61.0,57.0,2818
0.7,Ideal,E,VS1,62.9,57.0,2818
0.7,Premium,E,VS1,59.6,57.0,2818
0.7,Premium,F,VS2,61.8,60.0,2818
0.7,Premium,E,VS1,62.7,57.0,2818
1.0,Fair,H,SI2,65.3,62.0,2818
0.72,Very Good,G,VS1,63.8,58.0,2819
0.72,Ideal,H,VS1,62.3,56.0,2819
0.7,Good,F,VS1,59.7,63.0,2819
0.86,Good,F,SI2,64.3,60.0,2819
0.71,Ideal,G,VS1,62.9,58.0,2820
0.75,Ideal,E,SI1,62.0,57.0,2821
0.73,Premium,E,VS2,61.6,59.0,2821
0.53,Ideal,E,VVS1,61.9,55.0,2821
0.73,Premium,E,SI1,61.3,58.0,2821
0.73,Good,E,SI1,63.6,57.0,2821
0.73,Premium,E,SI1,59.6,61.0,2821
0.73,Premium,E,SI1,62.2,59.0,2821
0.73,Premium,D,SI1,61.7,55.0,2821
0.73,Very Good,E,SI1,63.2,58.0,2821
0.7,Premium,E,VS1,60.8,60.0,2822
0.72,Premium,E,VS2,60.3,59.0,2822
0.72,Premium,E,VS2,60.9,60.0,2822
0.72,Premium,E,VS2,62.4,59.0,2822
0.7,Premium,E,VS2,60.2,60.0,2822
0.6,Ideal,F,VVS2,62.0,55.0,2822
0.74,Ideal,I,VVS1,60.8,57.0,2822
0.73,Ideal,F,SI1,62.1,55.0,2822
0.71,Premium,D,SI1,62.7,60.0,2822
0.71,Premium,D,SI1,61.3,58.0,2822
0.7,Premium,D,SI1,60.2,60.0,2822
0.7,Ideal,D,SI1,60.7,56.0,2822
0.9,Good,J,VS2,64.0,61.0,2822
0.71,Ideal,D,SI1,60.2,56.0,2822
0.7,Premium,E,VS2,61.5,59.0,2822
0.7,Premium,E,VS2,62.6,56.0,2822
0.7,Ideal,D,SI1,59.7,58.0,2822
0.7,Good,E,SI1,61.4,64.0,2822
0.7,Ideal,D,SI1,62.5,57.0,2822
0.7,Ideal,D,SI1,61.8,56.0,2822
0.7,Premium,E,VS2,60.7,62.0,2822
0.7,Premium,F,VS2,60.6,58.0,2822
0.7,Ideal,D,SI1,61.4,54.0,2822
0.79,Very Good,D,SI2,62.8,59.0,2823
0.9,Good,I,SI1,63.8,57.0,2823
0.71,Premium,E,VS2,62.3,58.0,2823
0.61,Ideal,E,VVS2,61.3,54.0,2823
0.9,Fair,H,SI2,65.8,54.0,2823
0.71,Ideal,E,SI1,60.5,56.0,2823
0.71,Premium,D,VS2,61.2,59.0,2824
0.77,Ideal,I,VVS2,62.1,57.0,2824
0.74,Good,E,VS1,63.1,58.0,2824
0.82,Ideal,F,SI2,62.4,54.0,2824
0.82,Premium,E,SI2,60.8,60.0,2824
0.71,Premium,G,VS1,62.2,59.0,2825
0.83,Premium,H,SI1,60.0,59.0,2825
0.73,Very Good,G,VS1,62.0,57.0,2825
0.83,Premium,H,SI1,62.5,59.0,2825
1.17,Premium,J,I1,60.2,61.0,2825
0.91,Fair,H,SI2,61.3,67.0,2825
0.73,Premium,E,VS1,62.6,60.0,2826
0.7,Good,E,VS1,57.2,59.0,2826
0.9,Premium,I,SI2,62.2,59.0,2826
0.7,Premium,E,VS1,62.2,58.0,2826
0.7,Very Good,D,VS2,63.3,56.0,2826
0.7,Premium,E,VS1,59.4,61.0,2826
0.9,Very Good,I,SI2,63.5,56.0,2826
0.78,Premium,F,SI1,60.8,60.0,2826
0.96,Ideal,F,I1,60.7,55.0,2826
0.7,Very Good,D,SI1,62.3,59.0,2827
0.72,Good,D,VS2,64.0,54.0,2827
0.79,Premium,H,VVS2,62.6,58.0,2827
0.7,Ideal,H,VVS1,61.6,57.0,2827
0.7,Ideal,H,VVS1,62.3,55.0,2827
0.7,Ideal,D,SI2,60.6,57.0,2828
1.01,Premium,H,SI2,61.6,61.0,2828
0.72,Premium,F,VS1,62.2,58.0,2829
0.8,Good,E,SI2,63.7,54.0,2829
0.59,Ideal,E,VVS1,62.0,56.0,2829
0.72,Ideal,F,VS1,61.7,57.0,2829
0.75,Premium,E,SI2,61.9,57.0,2829
0.8,Premium,E,SI2,60.2,57.0,2829
0.71,Very Good,E,VS2,62.7,59.0,2830
0.77,Very Good,H,SI1,61.7,56.0,2830
